Last Name,First and Middle,Area,Role,Years Served,,,,,,,,,,,,,,
Beecher,Charles,Florida,Superintendent of Public Instruction: Florida,1871-1873,,,,,,,,,,,,,,
Gibbs,Jonathon Clarkson,Leon,Superintendent of Public Instruction: Florida,1868-1874,,,,,,,,,,,,,,
Hicks,William Watkin,Dade,Superintendent of Public Instruction: Florida,1875-1876,,,,,,,,,,,,,,
Haisley,W. P.,Hillsborough,Superintendent of Public Instruction: Florida,1877-1881,,,,,,,,,,,,,,
Foster,Eleazer,Seminole,Superintendent of Public Instruction: Florida,1881-1884,,,,,,,,,,,,,,
Russell,Albert Jonathon,Florida,Superintendent of Public Instruction: Florida,1884-1893,,,,,,,,,,,,,,
Sheats,William N.,Alachua,Superintendent of Public Instruction: Florida,1893-1905,,,,,,,,,,,,,,
Holloway,William M.,Florida,Superintendent of Public Instruction: Florida,1905-1913,,,,,,,,,,,,,,
Wombell,Lucius B.,Florida,Comissioner of Agriculture: Florida,1888-1900,,,,,,,,,,,,,,
McLin,Benjamin Earnest,Orange,Comissioner of Agriculture: Florida,1901-1912,,,,,,,,,,,,,,
Luning,John Christian,Lake,Comissioner of Agriculture: Florida,1912-1912,,,,,,,,,,,,,,
McRae,William Allen,Florida,Comissioner of Agriculture: Florida,1912-1923,,,,,,,,,,,,,,
Archer,James T.,Leon,Secretary of State: Florida,1845-1848,,,,,,,,,,,,,,
Maxwell,Augustus,Escambia,Secretary of State: Florida,1848-1849,,,,,,,,,,,,,,
Downing,Charles W. Jr.,Florida,Secretary of State: Florida,1849-1853,,,,,,,,,,,,,,
Villepigue,Frederick L. ,Jefferson,Secretary of State: Florida,1853-1863,,,,,,,,,,,,,,
Allen,Benjamin F.,Leon,Secretary of State: Florida,1863-1868,,,,,,,,,,,,,,
Alden,George J.,Duval,Secretary of State: Florida,1868-1868,,,,,,,,,,,,,,
Gibbs,Jonathon Clarkson,Leon,Secretary of State: Florida,1868-1873,,,,,,,,,,,,,,
Mclin,Samuel,Florida,Secretary of State: Florida,1873-1877,,,,,,,,,,,,,,
Bloxham,William,Leon,Secretary of State: Florida,1877-1880,,,,,,,,,,,,,,
Rankin,Frederick W. A. Jr.,Florida,Secretary of State: Florida,1880-1881,,,,,,,,,,,,,,
Crawford,John L.,Wakulla,Secretary of State: Florida,1881-1902,,,,,,,,,,,,,,
Crawford,Henry Clay,Wakulla,Secretary of State: Florida,1902-1929,,,,,,,,,,,,,,
Byrd,Benjamin,Florida,State Treasurer: Florida ,1845-1848,,,,,,,,,,,,,,
Hayward,William R.,Florida,State Treasurer: Florida ,1848-1853,,,,,,,,,,,,,,
Austin,Charles H.,Florida,State Treasurer: Florida ,1853-1868,,,,,,,,,,,,,,
Conover,Simon B.,Columbia,State Treasurer: Florida ,1868-1873,,,,,,,,,,,,,,
Foster,Charles H.,Florida,State Treasurer: Florida ,1873-1877,,,,,,,,,,,,,,
Gwynn,Walter,Florida,State Treasurer: Florida ,1877-1881,,,,,,,,,,,,,,
I'Engle,Henry A.,Florida,State Treasurer: Florida ,1881-1885,,,,,,,,,,,,,,
