Last Name,First and Middle,Area,Role,Years Served,,,,,,,,,,,,,,
Baya,Joesph F.,14th District,State Senator: Florida ,1891-1893,,,,,,,,,,,,,,
Beard,John S.,2nd District,State Senator: Florida ,1907-1909,,,,,,,,,,,,,,
Beauchamp,W. H.,Jackson,State House Representative: Florida,1913,,,,,,,,,,,,,,
Belcher,William A.,Hillsborough,State House Representative: Florida,1887,,,,,,,,,,,,,,
Bell ,Daniel,10th District,State Senator: Florida ,1945,,,,,,,,,,,,,,
Bell ,Robert E.,Hernando,State House Representative: Florida,1881,,,,,,,,,,,,,,
Bell ,Thomas N.,Hamilton,State House Representative: Florida,1879,,,,,,,,,,,,,,
Bellam,Burton W.,Jefferson,State House Representative: Florida,1854-1861,,,,,,,,,,,,,,
Bellamy,Samuel C.,Western District,State Senator: Florida ,1845,,,,,,,,,,,,,,
Bellamy ,William,8th District,State Senator: Florida ,1845,,,,,,,,,,,,,,
Bennett ,A. T.,Franklin,State House Representative: Florida,1850,,,,,,,,,,,,,,
Bennett,William M.,Lake,State House Representative: Florida,1895,,,,,,,,,,,,,,
Berkelman,George,Putnam,State House Representative: Florida,1889,,,,,,,,,,,,,,
Berry,Alexander Campbell,Escambia,State House Representative: Florida,1891-1893,,,,,,,,,,,,,,
Berry,G. H.,Walton,State House Representative: Florida,1875,,,,,,,,,,,,,,
Bethel,William W.,Monroe,State House Representative: Florida,1883,,,,,,,,,,,,,,
Bethel,William W.,Monroe,State House Representative: Florida,1891-1893,,,,,,,,,,,,,,
Bethel,William W.,Monroe,State House Representative: Florida,1897,,,,,,,,,,,,,,
Bevill,Robert J.,Hamilton,State House Representative: Florida,1864,,,,,,,,,,,,,,
Bevill,Robert J.,Hamilton,State House Representative: Florida,1881-1883,,,,,,,,,,,,,,
Berkelman,George,Putnam,State House Representative: Florida,1889,,,,,,,,,,,,,,
Berry,Alexander Campbell,Escambia,State House Representative: Florida,1891-193,,,,,,,,,,,,,,
Berry,G. H.,Walton,State House Representative: Florida,1875,,,,,,,,,,,,,,
Berthelot,James A.,7th District,State Senator: Florida ,1845,,,,,,,,,,,,,,
Bevill,Robert J.,Hamilton,State House Representative: Florida,1864,,,,,,,,,,,,,,
Bevill,Robert J.,Hamilton,State House Representative: Florida,1881-1883,,,,,,,,,,,,,,
Bevill,Claiborne,Sumter,State House Representative: Florida,1881,,,,,,,,,,,,,,
Bevill,Claiborne,Sumter,State House Representative: Florida,1891,,,,,,,,,,,,,,
Biebly,Charles F. A.,Volusia,State House Representative: Florida,1887,,,,,,,,,,,,,,
Biebly,Charles F. A.,Volusia,State Senator: Florida ,1889,,,,,,,,,,,,,,
Bighan,William H.,Levy,State House Representative: Florida,1881,,,,,,,,,,,,,,
Billings,Liberty,16th District,State Senator: Florida ,1871-1874,,,,,,,,,,,,,,
Bird,Daniel B.,10th District,State Senator: Florida ,1846,,,,,,,,,,,,,,
Bird,Daniel B.,10th District,State Senator: Florida ,1854-1856,,,,,,,,,,,,,,
Bird,Daniel B.,10th District,State Senator: Florida ,1858-1859,,,,,,,,,,,,,,
Bird,Edmund,Alachua,State House Representative: Florida,1841,,,,,,,,,,,,,,
Bird,P. B.,Jefferson,State House Representative: Florida,1860-1861,,,,,,,,,,,,,,
Bird ,William A.,Jefferson,State House Representative: Florida,1883-1885,,,,,,,,,,,,,,
Bird,William Capers,12th District,State Senator: Florida ,1865-1866,,,,,,,,,,,,,,
Bishop,Peter Putnam MD,Putnam,State House Representative: Florida,1877,,,,,,,,,,,,,,
Bissell,Theodore,Dade,State House Representative: Florida,1858-1861,,,,,,,,,,,,,,
Black,Richard Horatio,Alachua,State House Representative: Florida,1869-1870,,,,,,,,,,,,,,
Blackburn,Elias E.,Jefferson,State House Representative: Florida,1847-1848,,,,,,,,,,,,,,
Blackburn,Elias E.,10th District,State Senator: Florida ,1852,,,,,,,,,,,,,,
Blackburn,G. W.,Jefferson,State House Representative: Florida,1862-1863,,,,,,,,,,,,,,
Blackwell,Bishop Bascom,Hamilton,State House Representative: Florida,1883,,,,,,,,,,,,,,
Blackwell,Bishop Bascom,26th District,State Senator: Florida ,1887,,,,,,,,,,,,,,
Blair ,George P.,Baker,State House Representative: Florida,1901,,,,,,,,,,,,,,
Blitch,James S.,21st District,State Senator: Florida ,1912-1915,,,,,,,,,,,,,,
Blanton,James Ellis,Madison,State House Representative: Florida,1897,,,,,,,,,,,,,,
Blanton,James Ellis,Madison,State House Representative: Florida,1901-1905,,,,,,,,,,,,,,
Blanton,Lawton Walter,Taylor,State House Representative: Florida,1903-1905,,,,,,,,,,,,,,
Blanton,Lawton Walter,Taylor,State House Representative: Florida,1911-1912,,,,,,,,,,,,,,
Blitch,Newton Amos,Levy,State House Representative: Florida,1883,,,,,,,,,,,,,,
Blitch,Newton Amos,Levy,State House Representative: Florida,1887-1891,,,,,,,,,,,,,,
Blitch,Newton Amos,21st District,State Senator: Florida ,1893-1903,,,,,,,,,,,,,,
Blitch,Simon Hardee M.,Marion ,State House Representative: Florida,1889-1891,,,,,,,,,,,,,,
Blitch,Simon Hardee M.,20th District,State Senator: Florida ,1895-1897,,,,,,,,,,,,,,
Blitch,William Madison,Alachua,State House Representative: Florida,1887,,,,,,,,,,,,,,
Blocker,"John R,",Franklin,State House Representative: Florida,1893,,,,,,,,,,,,,,
Blount,Alexander C.,Escambia,State House Representative: Florida,1860-1861,,,,,,,,,,,,,,
Bount,William ,Florida ,House Sergeant at Arms,1845,,,,,,,,,,,,,,
Blount,William A.,2nd District ,State Senator: Florida ,1903-1905,,,,,,,,,,,,,,
Bloxham ,William Dunnington,Leon,State House Representative: Florida,1861,,,,,,,,,,,,,,
Bogue,F. E.,Duval,State House Representative: Florida,1891,,,,,,,,,,,,,,
Bogue,G. W.,Madison,State House Representative: Florida,1868-1870,,,,,,,,,,,,,,
Boland,A. J.,Jefferson,State House Representative: Florida,1909,,,,,,,,,,,,,,
Boland,Edward,Florida ,Senate Sergeant at Arms,1845,,,,,,,,,,,,,,
Bonner,Killis B.,Marion,State House Representative: Florida,1877,,,,,,,,,,,,,,
Borden ,W. J.,20th District ,State Senator: Florida ,1891-1893,,,,,,,,,,,,,,
Bostick,George Washington,Wakulla,State House Representative: Florida,1868-1870,,,,,,,,,,,,,,
Bowden,James E.,Florida ,State Senator: Florida ,1858-1859,,,,,,,,,,,,,,
Bowden,George S.,Pasco,State House Representative: Florida,1899,,,,,,,,,,,,,,
Bowers,Giles,Walton,State House Representative: Florida,1852-1855,,,,,,,,,,,,,,
Bowers,Giles,Walton,State Senator: Florida ,1860-18161,,,,,,,,,,,,,,
Bowes,Joesph,Florida ,State Senator: Florida ,1871-1875,,,,,,,,,,,,,,
Bowles,J. R>,Jackson,State House Representative: Florida,1895,,,,,,,,,,,,,,
Bowne,Geoerge L.,Monroe,State House Representative: Florida,1860,,,,,,,,,,,,,,
Boyd,Samuel L.,Nassau,State House Representative: Florida,1871-1872,,,,,,,,,,,,,,
Brack,Captian William Jackson,Orange,State House Representative: Florida,1877,,,,,,,,,,,,,,
Brack,Captian William Jackson,Brevard,State House Representative: Florida,1885,,,,,,,,,,,,,,
Braddock,Hutto L.,Nassau,State House Representative: Florida,1856,,,,,,,,,,,,,,
Bradford,Richard H.,Leon,State House Representative: Florida,1863-1864,,,,,,,,,,,,,,
Bradley,R. D.,18th District,State Senator: Florida ,1846,,,,,,,,,,,,,,
Bradley,R. D.,Hernando,State House Representative: Florida,1850,,,,,,,,,,,,,,
Bradshaw,John J.,Hamilton,State House Representative: Florida,1899,,,,,,,,,,,,,,
Bradshaw,John J.,Hamilton,State House Representative: Florida,1905-1907,,,,,,,,,,,,,,
Bradwell,Daniel,Gadsden,State House Representative: Florida,1847,,,,,,,,,,,,,,
Bradwell,Washington R.,Liberty,State House Representative: Florida,1868-1870,,,,,,,,,,,,,,
Bradwell,William ,18th District ,State Senator: Florida ,1868-1870,,,,,,,,,,,,,,
Branch ,Lewis Henry,Leon,State House Representative: Florida,1845,,,,,,,,,,,,,,
Branch ,T. H.,Nassau,State House Representative: Florida,1865-1866,,,,,,,,,,,,,,
Branch ,William D.,Alachua,State House Representative: Florida,1844,,,,,,,,,,,,,,
Brantley,George C.,20th District,State Senator: Florida ,1875-1877,,,,,,,,,,,,,,
Brantley,Richard F.,Monroe,State House Representative: Florida,1845,,,,,,,,,,,,,,
Braswell,Marada,Wakulla,State House Representative: Florida,1855,,,,,,,,,,,,,,
Brayton,Thomas F.,Bay,State House Representative: Florida,1915,,,,,,,,,,,,,,
Brelsford,John H.,Dade,State House Representative: Florida,1883,,,,,,,,,,,,,,
Brett,John,3rd District ,State Senator: Florida ,1889-1891,,,,,,,,,,,,,,
Brett,John Jr.,Jackson,State House Representative: Florida,1845,,,,,,,,,,,,,,
Brett,John Jr.,4th District,State Senator: Florida ,1847,,,,,,,,,,,,,,
Brett,John Sr.,Jackson,State House Representative: Florida,1850,,,,,,,,,,,,,,
Brett,Martin W.,Holmes,State House Representative: Florida,1879,,,,,,,,,,,,,,
Brevard,Theodore Washington Jr.,Leon,State House Representative: Florida,1858-1859,,,,,,,,,,,,,,
Brevard,Theodore Washington Jr.,10th District ,State Senator: Florida ,1865-1866,,,,,,,,,,,,,,
Brewer,Edward H.,Levy,State House Representative: Florida,1885,,,,,,,,,,,,,,
Bridges,J. M.,Suwannee,State House Representative: Florida,1872,,,,,,,,,,,,,,
Brinson,Cyprian,Columbia,State House Representative: Florida,1858-1859,,,,,,,,,,,,,,
Brinson,Cyprian,Suwannee,State House Representative: Florida,1873-1874,,,,,,,,,,,,,,
Brinson,William A.,11th District,State Senator: Florida ,1854-1856,,,,,,,,,,,,,,
Bristol,W. H.,28th District,State Senator: Florida ,1891-1893,,,,,,,,,,,,,,
Broad,Robert James,Putnam,State House Representative: Florida,1889,,,,,,,,,,,,,,
Brock,L. A.,Washington,State House Representative: Florida,1915,,,,,,,,,,,,,,
Brock,Thomas,Washington,State House Representative: Florida,1865-1866,,,,,,,,,,,,,,
Brokaw,Peres B.,Leon,State House Representative: Florida,1856,,,,,,,,,,,,,,
Brokaw,Peres B.,Leon,State House Representative: Florida,1865-1866,,,,,,,,,,,,,,
Brokaw,Peres B.,8th District,State Senator: Florida ,1860-1861,,,,,,,,,,,,,,
Brooks,John R.,1st District,State Senator: Florida ,1856,,,,,,,,,,,,,,
Broome,James E.,6th District,State Senator: Florida ,1891-1901,,,,,,,,,,,,,,
Broome,James E.,6th District,State Senator: Florida ,1907-1912,,,,,,,,,,,,,,
Broome,James Emilius,15h District,State Senator: Florida ,1861,,,,,,,,,,,,,,
Broward,John,13th District ,State Senator: Florida ,1845,,,,,,,,,,,,,,
Broward,John,14th District ,State Senator: Florida ,1846,,,,,,,,,,,,,,
Broward,John,16th District ,State Senator: Florida ,1858,,,,,,,,,,,,,,
Broward,Napoleon Bonaparte,Duval,State House Representative: Florida,1901,,,,,,,,,,,,,,
Brown,C. M.,Marion,State House Representative: Florida,1895,,,,,,,,,,,,,,
Brown,C. M.,20th District,State Senator: Florida ,1903,,,,,,,,,,,,,,
Brown,H. M.,Leon,State House Representative: Florida,1845,,,,,,,,,,,,,,
Brown,I. J.,Columbia,State House Representative: Florida,1911-1912,,,,,,,,,,,,,,
Brown,J. C.,Polk,State House Representative: Florida,1912-1913,,,,,,,,,,,,,,
Brown,J. C.,DeSoto,State House Representative: Florida,1909-1912,,,,,,,,,,,,,,
Brown,James,Washington,State House Representative: Florida,1850,,,,,,,,,,,,,,
Brown,James,Washington,State House Representative: Florida,1850,,,,,,,,,,,,,,
Brown,John Joesph,Dade,State House Representative: Florida,1877,,,,,,,,,,,,,,
Brown,Joesph,Hillsborough,State House Representative: Florida,1871-1872,,,,,,,,,,,,,,
Brown,Joesph W.,Lafayette,State House Representative: Florida,1905,,,,,,,,,,,,,,
Brown,max M.,29th District,State Senator: Florida ,1913-1915,,,,,,,,,,,,,,
Brown,Micajah C.,18th District ,State Senator: Florida ,1848-1850,,,,,,,,,,,,,,
Brown,R. E.,DeSoto,State House Representative: Florida,1901,,,,,,,,,,,,,,
Brown,Richard Lewis Sr.,Duval,State House Representative: Florida,1881-1883,,,,,,,,,,,,,,
Brown,Robery,Columbia,State House Representative: Florida,1846,,,,,,,,,,,,,,
Brown,Robery,13th District,State Senator: Florida ,1850-1852,,,,,,,,,,,,,,
Brown,T. J.,Columbia,State House Representative: Florida,1891,,,,,,,,,,,,,,
Brown,Thomas,Leon,State House Representative: Florida,1845,,,,,,,,,,,,,,
Brown,W. W.,Holmes,State House Representative: Florida,1864,,,,,,,,,,,,,,
Browne,George H.,Orange,State House Representative: Florida,1887,,,,,,,,,,,,,,
Browne,Jefferson Beale,24th District,State Senator: Florida ,1891-1893,,,,,,,,,,,,,,
Browne,Joesph Beverly,Monroe,State House Representative: Florida,1845,,,,,,,,,,,,,,
Browne,Joesph Beverly,Monroe,State House Representative: Florida,1865-1866,,,,,,,,,,,,,,
Browne,Joesph Beverly,Monroe,State House Representative: Florida,1873-1875,,,,,,,,,,,,,,
Browne,Of Monroe,21st District,State Senator: Florida ,1858,,,,,,,,,,,,,,
Brownell,Anthony H.,Walton,State House Representative: Florida,1850,,,,,,,,,,,,,,
Broxson,Clark L.,Holmes,State House Representative: Florida,1858-1861,,,,,,,,,,,,,,
Brush,Louis J.,Levy,State House Representative: Florida,1879,,,,,,,,,,,,,,
Bryan,C. A.,Leon,State House Representative: Florida,1864,,,,,,,,,,,,,,
Bryan,Jno. L.,Florida ,House Sergeant at Arms,1891,,,,,,,,,,,,,,
Bryan,John,Hamilton,State House Representative: Florida,1847,,,,,,,,,,,,,,
Bryan,John Milton,Orange,State House Representative: Florida,1875,,,,,,,,,,,,,,
Bryan,John Milton,Orange,State House Representative: Florida,1879-1883,,,,,,,,,,,,,,
Bryan,John Milton,20th District,State Senator: Florida ,1887,,,,,,,,,,,,,,
Bryan,N. C.,Hillsborough,State House Representative: Florida,1881,,,,,,,,,,,,,,
Bryan,P. N.,Volusia,State House Representative: Florida,1893,,,,,,,,,,,,,,
Bryan,William A.,Washington,State House Representative: Florida,1905,,,,,,,,,,,,,,
Bryant,James W.,Duval,State House Representative: Florida,1848-1850,,,,,,,,,,,,,,
Bryant,James W.,Putnam,State House Representative: Florida,1856,,,,,,,,,,,,,,
Bryant,John Weasley,Polk,State House Representative: Florida,1873-1874,,,,,,,,,,,,,,
Bryant,John Weasley,Polk,State House Representative: Florida,1879-1885,,,,,,,,,,,,,,
Bryant,John Weasley,7th DIstrict ,State Senator: Florida ,1889-1891,,,,,,,,,,,,,,
Bryant,P. W.,Florida ,Senate Sergeant at Arms,1873,,,,,,,,,,,,,,
Bryson,William Jr.,26th District,State Senator: Florida ,1879-1885,,,,,,,,,,,,,,
Buckman,Henry Holland,Duval,State House Representative: Florida,1905,,,,,,,,,,,,,,
Buckman,Henry Holland,18th District,State Senator: Florida ,1907-1909,,,,,,,,,,,,,,
Buddington,Ozias,14th District,State Senator: Florida ,1850-1852,,,,,,,,,,,,,,
Buffington ,Samuel,Duval,State House Representative: Florida,1856,,,,,,,,,,,,,,
Buford,A.,Calhoun,State House Representative: Florida,1891,,,,,,,,,,,,,,
Buford,Rivers Henderon,Calhoun,State House Representative: Florida,1901,,,,,,,,,,,,,,
Buie,Silas Phelps,Columbia,State House Representative: Florida,1889,,,,,,,,,,,,,,
Bullock,Raymond Bramhall,Marion,State House Representative: Florida,1903,,,,,,,,,,,,,,
Bullock,Raymond Bramhall,Marion,State House Representative: Florida,1911-1912,,,,,,,,,,,,,,
Bullock,Robert B.,Marion,State House Representative: Florida,1879,,,,,,,,,,,,,,
Bunch,"J. J,",Columbia,State House Representative: Florida,1897,,,,,,,,,,,,,,
Burford,Robert Allen,Marion,State House Representative: Florida,1891,,,,,,,,,,,,,,
Burkhim ,Jacob,Florida ,Senate Sergeant at Arms,1875,,,,,,,,,,,,,,
Burnam ,James,11th District,State Senator: Florida ,1885-1887,,,,,,,,,,,,,,
Burham,Mills O.,St. Lucie,State House Representative: Florida,1847-1850,,,,,,,,,,,,,,
Burnsed,J. W.,Baker,State House Representative: Florida,1897,,,,,,,,,,,,,,
Burr,Richard Hudson Jr.,Dade,State House Representative: Florida,1901,,,,,,,,,,,,,,
Burritt,Samuel L.,14th District,State Senator: Florida ,1847-1848,,,,,,,,,,,,,,
Bush,Allen H.,Jackson,State House Representative: Florida,1845,,,,,,,,,,,,,,
Bush,Allen H.,Jackson,State House Representative: Florida,1859,,,,,,,,,,,,,,
Bush,Warren S.,Columbia,State House Representative: Florida,1873,,,,,,,,,,,,,,
Bush ,William L.,Palm Beach,State House Representative: Florida,1913-1915,,,,,,,,,,,,,,
Butler,"George O,",Dade,State House Representative: Florida,1909,,,,,,,,,,,,,,
Butler,"George O,",Palm Beach,State House Representative: Florida,1911-1912,,,,,,,,,,,,,,
Butler,J. Turner,Duval,State House Representative: Florida,1911-1912,,,,,,,,,,,,,,
Butler,John W.,Santa Rosa,State House Representative: Florida,1868-1872,,,,,,,,,,,,,,
Butler,Nathan W.,Wakulla,State House Representative: Florida,1881,,,,,,,,,,,,,,
Butler,P. W.,23rd District,State Senator: Florida ,1901-1903,,,,,,,,,,,,,,
Bynum,J. W.,Hamilton,State House Representative: Florida,1909,,,,,,,,,,,,,,
Bynum,John Henry Troup,17th District,State Senator: Florida ,1897-1899,,,,,,,,,,,,,,
Bynum ,William Forsyth MD,Florida ,State House Representative: Florida,1864-1903,,,,,,,,,,,,,,
Byrne,R. D.,Escambia,State House Representative: Florida,1881,,,,,,,,,,,,,,
Byrne,Richard McS.,Orange,State House Representative: Florida,1885,,,,,,,,,,,,,,
Cade ,James E.,Volusia,State House Representative: Florida,1911,,,,,,,,,,,,,,
Cade ,James E.,Volusia,State House Representative: Florida,1915,,,,,,,,,,,,,,
Calhoun,Benjamin P.,26th District,State Senator: Florida ,1891-1893,,,,,,,,,,,,,,
Calk,James S.,Holmes,State House Representative: Florida,1883,,,,,,,,,,,,,,
Calkins,James E.,Nassau,State House Representative: Florida,1907-1909,,,,,,,,,,,,,,
Calkins,James E.,16th District,State Senator: Florida ,1911-1925,,,,,,,,,,,,,,
Campbell,Archibald,Gadsden-Liberty,State House Representative: Florida,1858-1859,,,,,,,,,,,,,,
Campbell,Archibald,Liberty,State House Representative: Florida,1860-1863,,,,,,,,,,,,,,
Campbell,Daniel,Walton,State House Representative: Florida,1887,,,,,,,,,,,,,,
Campbell,Daniel,Walton,State House Representative: Florida,1901-1903,,,,,,,,,,,,,,
Campbell,Daniel L.,Walton,State House Representative: Florida,1871-1872,,,,,,,,,,,,,,
Campbell,J. Baxter,Gadsden,State House Representative: Florida,1905,,,,,,,,,,,,,,
Campbell,John L.,Walton,State House Representative: Florida,1856,,,,,,,,,,,,,,
Campbell,John L.,Walton,State House Representative: Florida,1862-1864,,,,,,,,,,,,,,
Campbell,John L.,Walton,State House Representative: Florida,1883,,,,,,,,,,,,,,
Campbell,William Wesley,Madison,State House Representative: Florida,1893,,,,,,,,,,,,,,
Canova,Antonio A.,Duval,State House Representative: Florida,1846,,,,,,,,,,,,,,
Canova,Antonio A.,Duval,State House Representative: Florida,1860-1861,,,,,,,,,,,,,,
Canova,Edward Emanuel,29th District,State House Representative: Florida,1905-1907,,,,,,,,,,,,,,
Canova,George Paul,Baker,State House Representative: Florida,1879,,,,,,,,,,,,,,
Canova,George Paul,Baker,State House Representative: Florida,1883,,,,,,,,,,,,,,
Canova,George Paul,Baker,State House Representative: Florida,1887,,,,,,,,,,,,,,
Canova,Raphael Bartolome,St.Johns,State House Representative: Florida,1881,,,,,,,,,,,,,,
Canter,Arthur Benjamin,Polk,State House Representative: Florida,1905,,,,,,,,,,,,,,
Canty,T. R.,Gadsden,State House Representative: Florida,1891,,,,,,,,,,,,,,
Carleton,McKeen,Putnam,State House Representative: Florida,1887,,,,,,,,,,,,,,
Carleton,Robert P.,Nassau,State House Representative: Florida,1891,,,,,,,,,,,,,,
Carleton,William Jefferson,Nassau,State House Representative: Florida,1903-1905,,,,,,,,,,,,,,
Carlisle,Julius Addison,Alachua,State House Representative: Florida,1897,,,,,,,,,,,,,,
Carman,A. V.,Florida ,Senate Sergeant at Arms,1855,,,,,,,,,,,,,,
Carn ,William David ,Marion,State House Representative: Florida,1909,,,,,,,,,,,,,,
Carney,Thomas M.,20th District,State Senator: Florida ,1911-1913,,,,,,,,,,,,,,
Carpenter,R. B.,Leon,State House Representative: Florida,1852,,,,,,,,,,,,,,
Carpenter,Richard B.,Leon,State House Representative: Florida,1895,,,,,,,,,,,,,,
Carr,Wallace B.,Leon,State House Representative: Florida,1881,,,,,,,,,,,,,,
Carr,Wallace B.,Leon,State House Representative: Florida,1887,,,,,,,,,,,,,,
Carroll,Jennifer S.,Jefferson,State House Representative: Florida,1879,,,,,,,,,,,,,,
Carroll,Phillip,Leon,State House Representative: Florida,1881,,,,,,,,,,,,,,
Carroll,Charles A.,19th District,State House Representative: Florida,1897-1903,,,,,,,,,,,,,,
Carson,Lewis D.,Liberty,State House Representative: Florida,1891,,,,,,,,,,,,,,
Carter,David,St. Johns,State House Representative: Florida,1897,,,,,,,,,,,,,,
Carter,Elisha,Columbia,State House Representative: Florida,1846,,,,,,,,,,,,,,
Carter,James P.,Wakulla,State House Representative: Florida,1856,,,,,,,,,,,,,,
Carter,James P.,Wakulla,State House Representative: Florida,1860-1861,,,,,,,,,,,,,,
Carter,James P.,Wakulla,State Senator: Florida ,1862-1864,,,,,,,,,,,,,,
Carter,Jess,Alachua,State House Representative: Florida,1840,,,,,,,,,,,,,,
Carter,Jess,Eastern District,State House Representative: Florida,1845,,,,,,,,,,,,,,
Carter,Jess,Eastern DIstrict,State House Representative: Florida,1845,,,,,,,,,,,,,,
Carter,Jess,11th District,State Senator: Florida ,1845,,,,,,,,,,,,,,
Carter,Jess,13th District,State Senator: Florida ,1846,,,,,,,,,,,,,,
Carter,Jess,Hillsborough,State House Representative: Florida,1854,,,,,,,,,,,,,,
Carter,N. R.,21st District,State Senator: Florida ,1905,,,,,,,,,,,,,,
Carter,Newton A.,Hernando,State House Representative: Florida,1875-1885,,,,,,,,,,,,,,
Carter ,Syd. L.,Alachua,State House Representative: Florida,1891,,,,,,,,,,,,,,
Carter ,Syd. L.,Alachua,State House Representative: Florida,1907-1909,,,,,,,,,,,,,,
Cash ,William Thomas,Taylor,State House Representative: Florida,1909,,,,,,,,,,,,,,
Cash ,William Thomas,Taylor,State House Representative: Florida,1915-1917,,,,,,,,,,,,,,
Cason,John B.,Bradford,State House Representative: Florida,1881,,,,,,,,,,,,,,
Cassady,Wilson W.,Suwannee,State House Representative: Florida,1883,,,,,,,,,,,,,,
Carter,E. L.,2nd District,State Senator: Florida ,1863-1864,,,,,,,,,,,,,,
Causseaux,S. K.,Wakulla,State House Representative: Florida,1911-1912,,,,,,,,,,,,,,
Cay,Charles A.,Leon,State House Representative: Florida,1912,,,,,,,,,,,,,,
Center,Geoerge E.,15th District ,State Senator: Florida ,1845,,,,,,,,,,,,,,
Cessna,William K.,Alachua,State House Representative: Florida,1871-1872,,,,,,,,,,,,,,
Cessna,William K.,Alachua,State House Representative: Florida,1877,,,,,,,,,,,,,,
Chadwick,E. R.,Putnam,State House Representative: Florida,1873-1875,,,,,,,,,,,,,,
Chain,John,Santa Rosa,State House Representative: Florida,1847,,,,,,,,,,,,,,
Chain,John,2nd District,State Senator: Florida ,1860-186,,,,,,,,,,,,,,
Chaires,Charles P.,Leon,State House Representative: Florida,1856,,,,,,,,,,,,,,
Chaires,B. C.,Leon,State House Representative: Florida,1897,,,,,,,,,,,,,,
Chaires,Green,Leon,State House Representative: Florida,1852-1855,,,,,,,,,,,,,,
Chaires,McQueen,Lafayette,State House Representative: Florida,1909,,,,,,,,,,,,,,
Chaires,Thomas Peter,Lafayette,State House Representative: Florida,1885,,,,,,,,,,,,,,
Chaires,Thomas Peter,12th District,State Senator: Florida ,1887,,,,,,,,,,,,,,
Chaires,Thomas Peter,12th District,State Senator: Florida ,1899,,,,,,,,,,,,,,
Chalker,James D.,Baker,State House Representative: Florida,1871-1872,,,,,,,,,,,,,,
Chambers,William J.,Marion,State House Representative: Florida,1901,,,,,,,,,,,,,,
Chandler,Henry Wilkins,19th District,State Senator: Florida ,1881-1887,,,,,,,,,,,,,,
Chapman,J. T.,Orange,State House Representative: Florida,1895,,,,,,,,,,,,,,
Chapman,John R.,Jackson,State House Representative: Florida,1844-1845,,,,,,,,,,,,,,
Chapman,M. W. D.,Sumter,State House Representative: Florida,1887,,,,,,,,,,,,,,
Chapman,Washington,Jackson,State House Representative: Florida,1862,,,,,,,,,,,,,,
Chase,Frank Emmanuel,Duval,State House Representative: Florida,1909-1913,,,,,,,,,,,,,,
Cheshire,Amos,Hamilton,State House Representative: Florida,1868-1870,,,,,,,,,,,,,,
Chiipley,William Dudley,2nd District,State House Representative: Florida,1895-1897,,,,,,,,,,,,,,
Christie,Eldred MD,Leon,State House Representative: Florida,1889,,,,,,,,,,,,,,
Christie,Flavius T.,Leon,State House Representative: Florida,1895-1897,,,,,,,,,,,,,,
Christie,Joesph B.,Leon,State House Representative: Florida,1854-1855,,,,,,,,,,,,,,
Christie,Joesph B.,Leon,State House Representative: Florida,1858-1859,,,,,,,,,,,,,,
Chunn,C. O.,Santa Rosa,State House Representative: Florida,1899,,,,,,,,,,,,,,
Church,Lucius A.,Madison-Lafayette-Taylor,State House Representative: Florida,1858-1859,,,,,,,,,,,,,,
Clark ,A. C.,Sumter,State House Representative: Florida,1872,,,,,,,,,,,,,,
Clark ,Frank  ,Polk,State House Representative: Florida,1889-1891,,,,,,,,,,,,,,
Clark ,Frank  ,Duval,State House Representative: Florida,1899,,,,,,,,,,,,,,
Clark ,Fran Jr. ,Alachua,State House Representative: Florida,1917,,,,,,,,,,,,,,
Clark ,John F.,Lafayette,State House Representative: Florida,1895,,,,,,,,,,,,,,
Clark ,Thomas E.,Jackson,State House Representative: Florida,1887,,,,,,,,,,,,,,
Clark ,W. R.,25th District,State House Representative: Florida,1897-1899,,,,,,,,,,,,,,
Clark ,William B.,Calhoun,State House Representative: Florida,1881,,,,,,,,,,,,,,
Clarke,S. D.,Jefferson,State House Representative: Florida,1907-1909,,,,,,,,,,,,,,
Clarke,Thomas,Jefferson,State House Representative: Florida,1893-1895,,,,,,,,,,,,,,
Clarke,Thomas,Jefferson,State House Representative: Florida,1901,,,,,,,,,,,,,,
Clary,James D.,3rd District,State House Representative: Florida,1862-1864,,,,,,,,,,,,,,
Clary,James D.,Walton,State House Representative: Florida,1879,,,,,,,,,,,,,,
Clinton,Joesph Newman,Alachua,State House Representative: Florida,1885,,,,,,,,,,,,,,
Clopton,Henry Calloway,Escambia,State House Representative: Florida,1903,,,,,,,,,,,,,,
Clopton,Henry Calloway,Escambia,State House Representative: Florida,1913,,,,,,,,,,,,,,
Close,J. L.,Polk,State House Representative: Florida,1901,,,,,,,,,,,,,,
Clyatt,Thomas N.,Levy,State House Representative: Florida,1856-1859,,,,,,,,,,,,,,
Clyatt,Thomas N.,Levy,State House Representative: Florida,1860-1861,,,,,,,,,,,,,,
Clyatt,William W.,Levy,State House Representative: Florida,1879,,,,,,,,,,,,,,
Clyatt,William W.,Levy,State House Representative: Florida,1883,,,,,,,,,,,,,,
Cobb,F. H. jr.,Santa Rosa,State House Representative: Florida,1897,,,,,,,,,,,,,,
Cobb,L. C.,Baker,State House Representative: Florida,1905-1907,,,,,,,,,,,,,,
Cobb,Sewell C.,Escambia,State House Representative: Florida,1883,,,,,,,,,,,,,,
Cochran,Thomas J.,Citrus,State House Representative: Florida,1893,,,,,,,,,,,,,,
Coffee,C. C.,Madison-Lafayette-Taylor,State House Representative: Florida,1858-1861,,,,,,,,,,,,,,
